job_title,experience_level,salary_in_usd,employee_residence,ppp_2024,salary_ppp_adjusted
Data Science Manager,MI,240000,US,1.0,240000.0
Data Science Manager,MI,180000,US,1.0,180000.0
Business Intelligence Engineer,SE,202800,US,1.0,202800.0
Business Intelligence Engineer,SE,115000,US,1.0,115000.0
Data Architect,SE,100000,GB,0.664153,150567.71557156258
Data Architect,SE,56250,GB,0.664153,84694.34000900395
Data Analyst,MI,112300,US,1.0,112300.0
Data Analyst,MI,75100,US,1.0,75100.0
Business Intelligence,MI,178200,US,1.0,178200.0
Business Intelligence,MI,87000,US,1.0,87000.0
ML Engineer,MI,252000,US,1.0,252000.0
ML Engineer,MI,168000,US,1.0,168000.0
Data Modeler,SE,140000,US,1.0,140000.0
Data Modeler,SE,130000,US,1.0,130000.0
Machine Learning Engineer,SE,190000,US,1.0,190000.0
Machine Learning Engineer,SE,100000,US,1.0,100000.0
Data Scientist,MI,150650,US,1.0,150650.0
Data Scientist,MI,106700,US,1.0,106700.0
Data Scientist,SE,192300,US,1.0,192300.0
Data Scientist,SE,107900,US,1.0,107900.0
Data Integration Specialist,MI,115000,US,1.0,115000.0
Data Integration Specialist,MI,95500,US,1.0,95500.0
Research Scientist,MI,195000,US,1.0,195000.0
Research Scientist,MI,160000,US,1.0,160000.0
Data Scientist,SE,257600,US,1.0,257600.0
Data Scientist,SE,146000,US,1.0,146000.0
Machine Learning Engineer,SE,122222,NL,0.731421,167102.12039304312
Machine Learning Engineer,SE,77777,NL,0.731421,106336.84293997574
Data Engineer,SE,158200,US,1.0,158200.0
Data Engineer,SE,74100,US,1.0,74100.0
Data Engineer,SE,231400,US,1.0,231400.0
Data Engineer,SE,170955,US,1.0,170955.0
Data Engineer,MI,137000,US,1.0,137000.0
Data Engineer,MI,60300,US,1.0,60300.0
Data Analyst,MI,101098,US,1.0,101098.0
Data Analyst,MI,59469,US,1.0,59469.0
Data Product Manager,MI,166363,US,1.0,166363.0
Data Product Manager,MI,103977,US,1.0,103977.0
Data Manager,SE,166000,US,1.0,166000.0
Data Manager,SE,104000,US,1.0,104000.0
Research Scientist,SE,170400,US,1.0,170400.0
Research Scientist,SE,123800,US,1.0,123800.0
Data Visualization Specialist,MI,94763,US,1.0,94763.0
Data Visualization Specialist,MI,67750,US,1.0,67750.0
Machine Learning Engineer,SE,251250,US,1.0,251250.0
Machine Learning Engineer,SE,120750,US,1.0,120750.0
Data Scientist,SE,189615,US,1.0,189615.0
Data Scientist,SE,150385,US,1.0,150385.0
Data Science,SE,283800,US,1.0,283800.0
Data Science,SE,234700,US,1.0,234700.0
Data Scientist,MI,109000,US,1.0,109000.0
Data Scientist,MI,93000,US,1.0,93000.0
Data Scientist,MI,164000,US,1.0,164000.0
Data Scientist,MI,131000,US,1.0,131000.0
Data Specialist,MI,57008,GB,0.664153,85835.6432930364
Data Specialist,MI,38651,GB,0.664153,58195.92774556465
Data Analyst,MI,68750,GB,0.664153,103515.30445544927
Data Analyst,MI,56250,GB,0.664153,84694.34000900395
