job_title,experience_level,salary_in_usd,employee_residence,employment_type
Data Scientist,MI,120000,AU,FT
Data Scientist,MI,70000,AU,FT
Data Scientist,MI,130000,US,CT
Data Scientist,MI,110000,US,CT
Data Science Manager,MI,240000,US,FT
Data Science Manager,MI,180000,US,FT
Business Intelligence Engineer,SE,202800,US,FT
Business Intelligence Engineer,SE,115000,US,FT
Data Architect,SE,100000,GB,FT
Data Architect,SE,56250,GB,FT
Data Analyst,SE,69230,CA,FT
Data Analyst,SE,57692,CA,FT
Data Analyst,MI,112300,US,FT
Data Analyst,MI,75100,US,FT
Business Intelligence,MI,178200,US,FT
Business Intelligence,MI,87000,US,FT
Data Scientist,SE,138000,CA,FT
Data Scientist,SE,72000,CA,FT
ML Engineer,MI,252000,US,FT
ML Engineer,MI,168000,US,FT
Data Modeler,SE,140000,US,FT
Data Modeler,SE,130000,US,FT
Machine Learning Engineer,SE,190000,US,FT
Machine Learning Engineer,SE,100000,US,FT
Data Scientist,MI,150650,US,FT
Data Scientist,MI,106700,US,FT
Data Scientist,SE,192300,US,FT
Data Scientist,SE,107900,US,FT
Data Integration Specialist,MI,115000,US,FT
Data Integration Specialist,MI,95500,US,FT
Research Scientist,MI,195000,US,FT
Research Scientist,MI,160000,US,FT
Data Scientist,SE,257600,US,FT
Data Scientist,SE,146000,US,FT
Data Analyst,EN,90000,CA,FT
Data Analyst,EN,70000,CA,FT
Machine Learning Engineer,SE,122222,NL,FT
Machine Learning Engineer,SE,77777,NL,FT
Data Engineer,SE,158200,US,FT
Data Engineer,SE,74100,US,FT
Data Engineer,SE,231400,US,FT
Data Engineer,SE,170955,US,FT
Data Engineer,MI,137000,US,FT
Data Engineer,MI,60300,US,FT
Data Analyst,MI,101098,US,FT
Data Analyst,MI,59469,US,FT
Data Product Manager,MI,166363,US,FT
Data Product Manager,MI,103977,US,FT
Data Manager,SE,166000,US,FT
Data Manager,SE,104000,US,FT
Research Scientist,SE,170400,US,FT
